id	Group	observed_features
FMT.C571	C57	1053
FMT.C572	C57	1003
FMT.C573	C57	831
FMT.C574	C57	924
FMT.C575	C57	909
FMT.SHED1	SHED	483
FMT.SHED2	SHED	671
FMT.SHED3	SHED	838
FMT.SHED4	SHED	769
FMT.ADSC1	ADSC	1081
FMT.ADSC2	ADSC	942
FMT.ADSC3	ADSC	924
FMT.ADSC4	ADSC	980
FMT.ADSC5	ADSC	854
FMT.HUCMSC1	HUCMSC	929
FMT.HUCMSC2	HUCMSC	851
FMT.HUCMSC3	HUCMSC	475
FMT.HUCMSC4	HUCMSC	622
FMT.HUCMSC5	HUCMSC	617
FMT.NACL1	NACL	607
FMT.NACL3	NACL	709
FMT.NACL4	NACL	546
FMT.NACL5	NACL	676
