id	Group	shannon_entropy
FMT.C571	C57	7.79499128700943
FMT.C572	C57	7.34258908405058
FMT.C573	C57	7.06222032841779
FMT.C574	C57	7.77689120158636
FMT.C575	C57	7.63965281943792
FMT.SHED1	SHED	6.99558719798835
FMT.SHED2	SHED	7.06080689119987
FMT.SHED3	SHED	7.61442095384601
FMT.SHED4	SHED	7.52371005208016
FMT.ADSC1	ADSC	7.86201167486809
FMT.ADSC2	ADSC	7.62021288439995
FMT.ADSC3	ADSC	7.64791850886877
FMT.ADSC4	ADSC	7.80627623691374
FMT.ADSC5	ADSC	7.22015675396723
FMT.HUCMSC1	HUCMSC	7.84487976526543
FMT.HUCMSC2	HUCMSC	7.38224639173154
FMT.HUCMSC3	HUCMSC	6.917431069265
FMT.HUCMSC4	HUCMSC	7.11792821065111
FMT.HUCMSC5	HUCMSC	7.06549834368844
FMT.NACL1	NACL	7.37899292675888
FMT.NACL2	NACL	7.56720862384666
FMT.NACL3	NACL	6.71750583500487
FMT.NACL5	NACL	7.52072214499781
