	FMT.ADSC1	FMT.ADSC2	FMT.ADSC3	FMT.ADSC4	FMT.ADSC5	FMT.C571	FMT.C572	FMT.C573	FMT.C574	FMT.C575	FMT.HUCMSC1	FMT.HUCMSC2	FMT.HUCMSC3	FMT.HUCMSC4	FMT.HUCMSC5	FMT.NACL1	FMT.NACL2	FMT.NACL3	FMT.NACL4	FMT.NACL5	FMT.SHED1	FMT.SHED2	FMT.SHED3	FMT.SHED4
FMT.ADSC1	0.0	0.6981981981981982	0.708950418544752	0.7277777777777777	0.7524177949709865	0.7970687711386697	0.7904817179338364	0.8087227414330218	0.8079667063020214	0.802647412755716	0.7421777221526908	0.7314510833880499	0.8058326937835764	0.7835714285714286	0.8150732728541521	0.7908309455587392	0.9142011834319527	0.7889039242219216	0.8303378864126527	0.8063858695652174	0.8491537895511405	0.8343313373253493	0.7473890339425587	0.7170596393897365
FMT.ADSC2	0.6981981981981982	0.0	0.7014613778705637	0.7126590756865372	0.7088425593098491	0.7850182704019488	0.7689873417721519	0.7905866302864939	0.7906675307841866	0.7749834546657842	0.7193702943189596	0.6997824510514866	0.7752808988764045	0.7636363636363637	0.7933436532507739	0.7706349206349207	0.9063906390639064	0.803623188405797	0.7630922693266833	0.7751703255109765	0.8252267106347898	0.8148420279206466	0.7303851640513552	0.7077039274924471
FMT.ADSC3	0.708950418544752	0.7014613778705637	0.0	0.64	0.7031363967906638	0.7153996101364523	0.7297297297297297	0.7614678899082569	0.7622237106496986	0.753061224489796	0.714087439278279	0.6851851851851852	0.7575488454706927	0.7562349155269509	0.775039745627981	0.761326860841424	0.9095840867992767	0.8260244428468727	0.8230584467574059	0.7189751801441153	0.8116554054054054	0.7944066515495087	0.7091575091575092	0.6763096168881939
FMT.ADSC4	0.7277777777777777	0.7126590756865372	0.64	0.0	0.7093596059113301	0.7512285012285013	0.7098243331164606	0.765507839127471	0.7708198837959974	0.761311475409836	0.7136118598382749	0.6949394155381325	0.7700760777683855	0.7552447552447552	0.7827743902439024	0.7857689364957919	0.9137323943661971	0.8303324099722992	0.8297546012269938	0.750188679245283	0.822061191626409	0.7957695113056164	0.7115520907158044	0.6967213114754098
FMT.ADSC5	0.7524177949709865	0.7088425593098491	0.7031363967906638	0.7093596059113301	0.0	0.7861234882240611	0.7726371447455387	0.7340345604808415	0.7737931034482759	0.780774550484094	0.7154178674351584	0.7093111279333838	0.7648698884758365	0.7565290648694187	0.8050365556458164	0.7774058577405858	0.9182448036951502	0.827456864216054	0.8225399495374264	0.776	0.829246935201401	0.8113795791114575	0.7438752783964365	0.7310398749022674
FMT.C571	0.7970687711386697	0.7850182704019488	0.7153996101364523	0.7512285012285013	0.7861234882240611	0.0	0.650032829940906	0.6871080139372823	0.7170668397144712	0.7075098814229249	0.7980594299575501	0.764438676184296	0.8182521268368136	0.8035714285714286	0.7959625090122566	0.782991202346041	0.907566638005159	0.8354263053536021	0.8285714285714286	0.7480086893555394	0.7905511811023622	0.7807637906647807	0.7932354818123803	0.7763599731363331
FMT.C572	0.7904817179338364	0.7689873417721519	0.7297297297297297	0.7098243331164606	0.7726371447455387	0.650032829940906	0.0	0.6729377713458755	0.71447631754503	0.6904109589041096	0.7902316844082655	0.7565392354124748	0.8128514056224899	0.7980769230769231	0.7910447761194029	0.7700534759358288	0.9050549450549451	0.8225584594222833	0.8130268199233717	0.7423220973782771	0.7637271214642263	0.7572383073496659	0.783212161269002	0.7582340574632095
FMT.C573	0.8087227414330218	0.7905866302864939	0.7614678899082569	0.765507839127471	0.7340345604808415	0.6871080139372823	0.6729377713458755	0.0	0.7057522123893806	0.7111111111111111	0.7743732590529248	0.75037147102526	0.8040293040293041	0.80999180999181	0.8062654575432812	0.7667238421955404	0.907163053722903	0.8359788359788359	0.8210616438356164	0.7657657657657657	0.7638758231420508	0.7658175842235004	0.797550432276657	0.7906273620559335
FMT.C574	0.8079667063020214	0.7906675307841866	0.7622237106496986	0.7708198837959974	0.7737931034482759	0.7170668397144712	0.71447631754503	0.7057522123893806	0.0	0.6935138987883107	0.7360163710777626	0.7630662020905923	0.813401187446989	0.8162327718223583	0.7979719188767551	0.7781324820430966	0.9051293690422152	0.8302292263610315	0.8192771084337349	0.7663839629915189	0.782871972318339	0.7824427480916031	0.7939767282683093	0.7846374730796841
FMT.C575	0.802647412755716	0.7749834546657842	0.753061224489796	0.761311475409836	0.780774550484094	0.7075098814229249	0.6904109589041096	0.7111111111111111	0.6935138987883107	0.0	0.7899934167215273	0.7115666178623719	0.7933740191804708	0.8001567398119123	0.7811501597444089	0.756357670221493	0.9069767441860465	0.8258345428156749	0.8103025347506132	0.76171875	0.7604630454140695	0.7636932707355243	0.7757533286615277	0.7670830271858927
FMT.HUCMSC1	0.7421777221526908	0.7193702943189596	0.714087439278279	0.7136118598382749	0.7154178674351584	0.7980594299575501	0.7902316844082655	0.7743732590529248	0.7360163710777626	0.7899934167215273	0.0	0.7129428778018799	0.782307025151778	0.7680698967434472	0.8061776061776061	0.7876874506708761	0.9097880018042399	0.839943342776204	0.8330696202531646	0.779467680608365	0.8407224958949097	0.8226637233259749	0.7450284090909091	0.7299925205684368
FMT.HUCMSC2	0.7314510833880499	0.6997824510514866	0.6851851851851852	0.6949394155381325	0.7093111279333838	0.764438676184296	0.7565392354124748	0.75037147102526	0.7630662020905923	0.7115666178623719	0.7129428778018799	0.0	0.7560975609756098	0.7431740614334471	0.7867768595041322	0.764406779661017	0.9136089177891314	0.8253012048192772	0.8201013513513513	0.7625607779578606	0.7992799279927992	0.792063492063492	0.7214231642694928	0.7050359712230215
FMT.HUCMSC3	0.8058326937835764	0.7752808988764045	0.7575488454706927	0.7700760777683855	0.7648698884758365	0.8182521268368136	0.8128514056224899	0.8040293040293041	0.813401187446989	0.7933740191804708	0.782307025151778	0.7560975609756098	0.0	0.734717416378316	0.759090909090909	0.7563218390804598	0.9237938596491229	0.8346456692913385	0.8155452436194895	0.778131634819533	0.7394736842105263	0.7962184873949579	0.7507136060894386	0.7331975560081466
FMT.HUCMSC4	0.7835714285714286	0.7636363636363637	0.7562349155269509	0.7552447552447552	0.7565290648694187	0.8035714285714286	0.7980769230769231	0.80999180999181	0.8162327718223583	0.8001567398119123	0.7680698967434472	0.7431740614334471	0.734717416378316	0.0	0.7817109144542773	0.7660642570281124	0.9207161125319693	0.826278659611993	0.8166160081053698	0.7800751879699248	0.8041125541125541	0.7755681818181818	0.7381158167675022	0.7411764705882353
