	FMT.ADSC1	FMT.ADSC2	FMT.ADSC3	FMT.ADSC4	FMT.ADSC5	FMT.C571	FMT.C572	FMT.C573	FMT.C574	FMT.C575	FMT.HUCMSC1	FMT.HUCMSC2	FMT.HUCMSC3	FMT.HUCMSC4	FMT.HUCMSC5	FMT.NACL1	FMT.NACL2	FMT.NACL3	FMT.NACL4	FMT.NACL5	FMT.SHED1	FMT.SHED2	FMT.SHED3	FMT.SHED4
FMT.ADSC1	0	0.5109173059463501	0.5113888382911682	0.5270029902458191	0.5551056861877441	0.5883081555366516	0.5905431509017944	0.6046205759048462	0.5773385763168335	0.5935918688774109	0.5460349321365356	0.5297800302505493	0.6228320002555847	0.5657442212104797	0.5978404879570007	0.5705550312995911	0.6961638331413269	0.5365090370178223	0.5770138502120972	0.5478891134262085	0.6372441649436951	0.5906044244766235	0.5438591837882996	0.5652711391448975
FMT.ADSC2	0.5109173059463501	0	0.4880641102790833	0.4961803555488586	0.4959728121757507	0.5502891540527344	0.5587052702903748	0.5458975434303284	0.5712194442749023	0.5655282735824585	0.5128440856933594	0.4810895919799805	0.5739372372627258	0.5111119151115417	0.5646525621414185	0.528073787689209	0.6929579973220825	0.5474555492401123	0.5119689106941223	0.5141000747680664	0.5822998881340027	0.5681651830673218	0.50734543800354	0.5296787619590759
FMT.ADSC3	0.5113888382911682	0.4880641102790833	0	0.4779587686061859	0.4917312264442444	0.5261095762252808	0.5331752300262451	0.544139564037323	0.5497072339057922	0.5534694194793701	0.5164511799812317	0.4753740131855011	0.5469556450843811	0.528085470199585	0.5624067783355713	0.5138868689537048	0.696164071559906	0.577128529548645	0.5457690358161926	0.4726856052875519	0.5655473470687866	0.5521842837333679	0.5113337635993958	0.5222374200820923
FMT.ADSC4	0.5270029902458191	0.4961803555488586	0.4779587686061859	0	0.5002346038818359	0.5551173686981201	0.534306526184082	0.5580408573150635	0.5599924921989441	0.5663672089576721	0.5241268277168274	0.4901900589466095	0.5729390978813171	0.5125581622123718	0.56304931640625	0.5315917730331421	0.7049686312675476	0.5825419425964355	0.5670747756958008	0.5078427195549011	0.5803199410438538	0.5500107407569885	0.5067688226699829	0.5317120552062988
FMT.ADSC5	0.5551056861877441	0.4959728121757507	0.4917312264442444	0.5002346038818359	0	0.5813775658607483	0.555621862411499	0.5267536640167236	0.5470618605613708	0.5760513544082642	0.4995505809783936	0.4939182698726654	0.5632888674736023	0.5227341055870056	0.5747207999229431	0.5186368227005005	0.705613911151886	0.5787508487701416	0.5553056001663208	0.5165182948112488	0.5702235698699951	0.5749819874763489	0.5337817072868347	0.5346686840057373
FMT.C571	0.5883081555366516	0.5502891540527344	0.5261095762252808	0.5551173686981201	0.5813775658607483	0	0.4865889847278595	0.4989844262599945	0.5105715990066528	0.5035880208015442	0.5929432511329651	0.5671185255050659	0.621624767780304	0.5862725377082825	0.6024919152259827	0.5825461745262146	0.6713960766792297	0.588164746761322	0.5911406874656677	0.5355621576309204	0.5396816730499268	0.532654881477356	0.5676749348640442	0.5949051380157471
FMT.C572	0.5905431509017944	0.5587052702903748	0.5331752300262451	0.534306526184082	0.555621862411499	0.4865889847278595	0	0.4705255031585693	0.5054588317871094	0.4995530545711517	0.584375262260437	0.548366367816925	0.6189594864845276	0.5719850063323975	0.5955137014389038	0.5717687606811523	0.6793456673622131	0.6040979623794556	0.5699493885040283	0.543914258480072	0.5321319103240967	0.5069547295570374	0.5820857882499695	0.5816307663917542
FMT.C573	0.6046205759048462	0.5458975434303284	0.544139564037323	0.5580408573150635	0.5267536640167236	0.4989844262599945	0.4705255031585693	0	0.5094638466835022	0.5126685500144958	0.5656170845031738	0.5410267114639282	0.595553994178772	0.5540984272956848	0.6043341755867004	0.5522388219833374	0.689026951789856	0.6165329813957214	0.5728271007537842	0.5548635721206665	0.5102691650390625	0.5219182372093201	0.5712080001831055	0.602467954158783
FMT.C574	0.5773385763168335	0.5712194442749023	0.5497072339057922	0.5599924921989441	0.5470618605613708	0.5105715990066528	0.5054588317871094	0.5094638466835022	0	0.5113300085067749	0.5329418182373047	0.5474829077720642	0.6206701993942261	0.5905433297157288	0.5918304920196533	0.5864312052726746	0.6731100082397461	0.5898085236549377	0.5778754949569702	0.5574854016304016	0.549917995929718	0.5328435897827148	0.5659940242767334	0.5995697975158691
FMT.C575	0.5935918688774109	0.5655282735824585	0.5534694194793701	0.5663672089576721	0.5760513544082642	0.5035880208015442	0.4995530545711517	0.5126685500144958	0.5113300085067749	0	0.5953158140182495	0.5341240167617798	0.6158894300460815	0.585175633430481	0.5997060537338257	0.5740822553634644	0.6795353293418884	0.6088647842407227	0.5674413442611694	0.5687170028686523	0.5496447086334229	0.5254429578781128	0.5719330310821533	0.5982714295387268
