taxonomy	FMT.ADSC1	FMT.ADSC2	FMT.ADSC3	FMT.ADSC4	FMT.ADSC5	FMT.C571	FMT.C572	FMT.C573	FMT.C574	FMT.C575	FMT.HUCMSC1	FMT.HUCMSC2	FMT.HUCMSC3	FMT.HUCMSC4	FMT.HUCMSC5	FMT.NACL1	FMT.NACL2	FMT.NACL3	FMT.NACL4	FMT.NACL5	FMT.SHED1	FMT.SHED2	FMT.SHED3	FMT.SHED4	FMT.SHED5
Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0
Adhaeribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Akkermansia	32.0	29.0	102.0	84.0	17.0	2684.0	3610.0	392.0	237.0	175.0	13.0	17.0	10.0	6.0	43.0	50.0	516.0	95.0	256.0	57.0	117.0	154.0	77.0	59.0	7.0
Alistipes	638.0	491.0	769.0	623.0	327.0	588.0	482.0	225.0	292.0	398.0	343.0	530.0	168.0	204.0	266.0	370.0	215.0	219.0	201.0	345.0	129.0	149.0	484.0	718.0	131.0
Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerolinea	0.0	0.0	0.0	0.0	0.0	7.0	0.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arcobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arthrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillus	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
