taxonomy	FMT.ADSC1	FMT.ADSC2	FMT.ADSC3	FMT.ADSC4	FMT.ADSC5	FMT.C571	FMT.C572	FMT.C573	FMT.C574	FMT.C575	FMT.HUCMSC1	FMT.HUCMSC2	FMT.HUCMSC3	FMT.HUCMSC4	FMT.HUCMSC5	FMT.NACL1	FMT.NACL2	FMT.NACL3	FMT.NACL4	FMT.NACL5	FMT.SHED1	FMT.SHED2	FMT.SHED3	FMT.SHED4	FMT.SHED5
Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	4.33	0.0	0.0
Adhaeribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Akkermansia	10.67	9.67	34.0	28.0	5.67	894.67	1203.33	130.67	79.0	58.33	4.33	5.67	3.33	2.0	14.33	16.67	172.0	31.67	85.33	19.0	39.0	51.33	25.67	19.67	2.33
Alistipes	298.13	229.44	359.35	291.12	152.8	274.77	225.23	105.14	136.45	185.98	160.28	247.66	78.5	95.33	124.3	172.9	100.47	102.34	93.93	161.21	60.28	69.63	226.17	335.51	61.21
Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerolinea	0.0	0.0	0.0	0.0	0.0	4.9	0.0	2.8	8.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arcobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arthrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteroides	47.0	24.25	54.29	45.06	22.75	91.2	66.09	27.9	45.92	59.44	20.6	30.26	12.45	11.16	35.62	55.58	318.24	36.05	19.74	68.24	15.88	22.75	38.41	56.87	7.51
Bergeyella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium	1.2	0.0	3.29	0.9	0.0	10.48	6.89	8.68	4.79	7.78	0.0	0.0	0.0	0.0	0.0	0.0	538.32	0.0	0.0	0.0	0.0	3.29	14.07	5.09	0.0
Blautia	26.45	18.2	17.26	12.57	15.38	161.91	152.35	106.57	96.44	116.32	17.26	40.15	3.94	1.88	7.5	9.38	715.01	2.81	17.26	7.69	23.64	47.65	14.26	13.32	8.26
Bradyrhizobium	0.0	0.0	0.0	0.0	0.0	9.91	0.0	0.0	3.6	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0
Brevundimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.16	2.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Butyricicoccus	5.12	13.02	5.58	4.65	8.84	17.67	13.02	19.53	3.72	9.3	15.35	2.79	0.0	0.0	0.0	0.0	23.26	0.0	3.72	0.0	11.63	2.79	4.65	0.0	0.0
Butyricimonas	0.6	0.0	0.0	0.0	0.6	0.6	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.44	0.0	0.0	0.0	0.0	0.0	0.0
Cloacibacterium	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.5	12.5	2.0	2.5	3.5	0.0	0.0	0.0	0.0	0.0
Clostridium	0.0	0.0	0.0	0.67	1.11	2.78	2.44	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.11	1.11	0.0	2.67	0.0	0.0	0.0	0.0	0.0
Coprobacillus	10.49	0.0	2.8	4.9	0.0	73.43	84.62	49.65	60.14	53.15	0.0	9.09	0.0	0.0	11.19	0.0	98.6	0.0	0.0	4.2	18.88	32.17	4.2	1.4	0.0
Corynebacterium	1.93	2.17	0.97	2.42	0.0	0.0	0.0	0.0	0.0	0.0	1.21	0.72	0.0	0.0	0.0	0.0	18.84	1.69	2.66	0.0	0.0	0.0	26.33	1.45	0.0
Cutibacterium	18.22	9.67	13.01	7.43	9.67	0.0	0.0	0.0	0.0	0.0	10.78	9.67	2.23	2.23	5.95	5.2	111.9	7.81	118.22	6.69	0.0	0.0	286.99	9.29	2.97
Deinococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eggerthella	0.0	0.0	0.0	2.64	0.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	0.0	0.0	0.0	0.0	36.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterorhabdus	9.0	15.2	7.0	10.0	3.6	12.8	7.2	1.0	0.8	9.0	9.4	14.2	5.0	3.6	3.8	3.6	0.0	0.0	0.0	2.6	7.2	0.0	1.6	0.0	0.0
Erysipelatoclostridium	0.19	2.23	0.0	0.0	0.0	2.23	5.02	0.93	0.0	1.67	0.93	2.04	0.0	1.3	0.19	1.86	13.38	0.0	0.0	0.0	0.0	0.93	0.0	0.37	0.0
Eubacterium	0.0	2.22	0.0	0.0	0.0	14.22	12.0	7.56	8.22	10.67	0.0	0.0	0.44	0.0	0.0	0.0	217.78	0.67	9.33	0.89	0.0	0.0	4.89	0.0	0.0
Faecalibacterium	1.67	0.0	1.0	0.5	0.0	17.5	17.33	12.83	16.67	11.67	0.0	0.0	0.0	0.0	0.33	0.0	29.67	0.0	3.83	0.0	3.17	5.33	2.17	1.67	0.0
Finegoldia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flavisolibacter	0.86	0.0	0.0	0.0	0.0	37.77	35.19	11.59	22.32	24.89	0.0	0.0	0.0	0.0	0.0	0.0	9.01	0.0	0.0	0.0	8.15	6.01	0.0	0.0	0.0
Flavobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fusicatenibacter	0.0	0.44	0.0	0.0	0.0	25.78	27.11	18.67	19.56	23.11	0.0	0.0	0.0	0.0	0.0	0.0	196.0	0.0	7.11	0.0	10.67	10.22	0.0	0.0	0.0
Fusobacterium	0.0	0.0	0.0	0.0	0.0	0.98	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.54	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0
