sequence	FMT.ADSC1	FMT.ADSC2	FMT.ADSC3	FMT.ADSC4	FMT.ADSC5	FMT.C571	FMT.C572	FMT.C573	FMT.C574	FMT.C575	FMT.HUCMSC1	FMT.HUCMSC2	FMT.HUCMSC3	FMT.HUCMSC4	FMT.HUCMSC5	FMT.NACL1	FMT.NACL2	FMT.NACL3	FMT.NACL4	FMT.NACL5	FMT.SHED1	FMT.SHED2	FMT.SHED3	FMT.SHED4	FMT.SHED5
199568	9.0	7.0	30.0	16.0	0.0	14.0	14.0	12.0	6.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	8.0	7.0	23.0	5.0	0.0	0.0
180402	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
182893	7299.0	7352.0	12299.0	9897.0	3666.0	13415.0	9687.0	4107.0	6633.0	9351.0	4509.0	9674.0	3229.0	3003.0	3184.0	4640.0	3079.0	1566.0	1328.0	4131.0	2929.0	5314.0	8507.0	15540.0	1877.0
4391686	0.0	0.0	0.0	0.0	0.0	158.0	157.0	128.0	106.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	68.0	0.0	0.0	0.0
527437	1845.0	3066.0	2585.0	1950.0	550.0	1216.0	484.0	407.0	2168.0	765.0	2697.0	611.0	304.0	335.0	717.0	158.0	27.0	119.0	139.0	188.0	564.0	151.0	872.0	2131.0	213.0
1133502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0
195325	80.0	64.0	37.0	34.0	35.0	265.0	195.0	139.0	168.0	210.0	40.0	6.0	11.0	10.0	27.0	31.0	9.0	9.0	56.0	22.0	32.0	9.0	0.0	36.0	40.0
526963	14.0	0.0	16.0	3.0	4.0	12.0	17.0	17.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	9.0	0.0	7.0	0.0	0.0	0.0	0.0
529442	638.0	491.0	769.0	623.0	327.0	588.0	482.0	225.0	292.0	398.0	343.0	530.0	168.0	204.0	266.0	370.0	215.0	219.0	201.0	345.0	129.0	149.0	484.0	718.0	131.0
314853	18.0	11.0	23.0	35.0	15.0	0.0	0.0	0.0	0.0	0.0	26.0	6.0	0.0	6.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	7.0	13.0	0.0
350681	0.0	0.0	0.0	0.0	0.0	13.0	12.0	7.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	524.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0
264795	562.0	641.0	592.0	546.0	451.0	2205.0	1451.0	1051.0	584.0	620.0	264.0	270.0	218.0	732.0	1598.0	1745.0	474.0	1356.0	1681.0	1874.0	1052.0	633.0	522.0	1010.0	151.0
185670	158.0	102.0	175.0	84.0	56.0	92.0	130.0	104.0	54.0	71.0	48.0	62.0	13.0	25.0	11.0	100.0	61.0	65.0	16.0	25.0	40.0	21.0	57.0	59.0	6.0
233435	6591.0	5021.0	6640.0	5526.0	2015.0	5600.0	4366.0	2009.0	2680.0	3490.0	2888.0	4281.0	2353.0	1825.0	2481.0	4451.0	2874.0	910.0	914.0	2161.0	2278.0	1324.0	5138.0	8942.0	1102.0
268923	11.0	0.0	9.0	11.0	10.0	66.0	49.0	34.0	12.0	22.0	30.0	15.0	10.0	0.0	10.0	19.0	25.0	0.0	2.0	11.0	7.0	0.0	5.0	8.0	0.0
289569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
